,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
449,0.0,0.0,0.0,0.0,0.0,26.2,26.2,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,태백시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,매립,22.8,0.0,2.1,0.0,강원,2017
450,0.0,0.6,0.0,0.0,13.7,0.0,21.8,0.0,21.8,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,태백시,0.0,3.1,0.0,0.0,0.0,0.2,0.0,1.1,0.0,3.1,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,강원,2017
451,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,15.0,0.1,0.0,0.0,0.0,12.8,0.0,0.0,2.2,태백시,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.1,재활용,0.0,0.3,0.0,0.0,강원,2017
452,0.3,2.8,0.0,0.0,0.0,38.7,107.6,0.0,146.0,0.0,0.0,0.0,0.0,36.1,0.0,68.9,2.3,속초시,0.0,0.0,0.0,0.0,0.0,52.3,0.6,1.2,0.1,12.6,0.6,0.0,0.3,발생량,38.7,0.4,0.0,0.0,강원,2017
453,0.0,0.0,0.0,0.0,0.0,38.7,38.7,0.0,46.5,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,속초시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,38.7,0.0,0.0,0.0,강원,2017
454,0.0,2.8,0.0,0.0,0.0,0.0,68.9,0.0,69.7,0.0,0.0,0.0,0.0,0.8,0.0,68.9,0.0,속초시,0.0,0.0,0.0,0.0,0.0,52.3,0.0,1.2,0.0,12.6,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,강원,2017
455,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,0.0,0.0,27.5,0.0,0.0,2.3,속초시,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.0,0.6,0.0,0.3,재활용,0.0,0.4,0.0,0.0,강원,2017
456,10.8,0.3,1.1,0.4,4.8,25.5,57.3,0.4,95.5,3.3,6.3,0.0,0.0,15.7,0.4,31.8,22.5,삼척시,0.0,3.1,0.0,0.0,0.0,12.5,0.7,7.1,0.7,4.0,1.2,0.1,0.4,발생량,18.9,3.1,0.2,0.0,강원,2017
457,0.0,0.3,0.0,0.0,4.8,25.5,57.3,0.0,57.3,0.0,6.3,0.0,0.0,0.0,0.0,31.8,0.0,삼척시,0.0,3.1,0.0,0.0,0.0,12.5,0.0,7.1,0.0,4.0,0.0,0.1,0.0,매립,18.9,0.0,0.2,0.0,강원,2017
458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,삼척시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,강원,2017
