,DSTRCT_PPR_KIND_QTY,DSTRCT_RSDL_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
591,1.0,0.0,0.0,2.7,0.1,0.4,1.0,1.8,0.0,12.4,0.1,0.0,0.1,0.0,2.6,0.0,0.8,8.0,서천군,0.1,0.0,0.0,0.0,0.2,0.0,0.2,0.4,1.2,0.0,0.6,0.3,0.3,재활용,0.1,1.4,0.6,0.0,충남,2018
592,0.1,0.0,0.1,0.0,0.0,0.0,1.4,13.9,0.1,29.4,0.0,0.0,0.0,1.3,4.1,9.0,11.2,11.4,청양군,0.0,0.0,0.0,1.0,0.0,0.6,0.0,1.5,0.1,9.0,0.4,0.0,0.1,발생량,1.4,0.6,0.0,0.0,충남,2018
593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,청양군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,충남,2018
594,0.0,0.0,0.1,0.0,0.0,0.0,0.0,11.2,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,청양군,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.5,0.0,9.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
595,0.1,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.1,16.9,0.0,0.0,0.0,0.0,4.1,9.0,0.0,11.4,청양군,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.1,재활용,1.4,0.6,0.0,0.0,충남,2018
596,2.9,2.2,3.1,2.0,0.1,11.7,0.5,44.1,0.2,87.1,4.8,0.1,0.0,0.0,25.7,0.1,43.6,17.3,홍성군,0.0,0.9,0.0,0.0,0.6,12.6,0.0,1.3,0.8,14.0,1.2,0.2,0.6,발생량,0.1,1.8,0.1,0.0,충남,2018
597,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,홍성군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,매립,0.1,0.0,0.1,0.0,충남,2018
598,0.0,0.0,3.1,0.0,0.0,11.7,0.0,43.6,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,홍성군,0.0,0.9,0.0,0.0,0.0,12.6,0.0,1.3,0.0,14.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
599,2.9,2.2,0.0,2.0,0.1,0.0,0.0,0.0,0.2,43.0,4.8,0.0,0.0,0.0,25.7,0.1,0.0,17.3,홍성군,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8,0.0,1.2,0.0,0.6,재활용,0.0,1.8,0.0,0.0,충남,2018
600,1.9,3.1,6.1,0.2,0.5,8.4,1.5,34.5,0.2,69.9,3.7,0.3,0.0,0.2,19.1,0.0,32.8,16.3,예산군,0.0,0.6,0.0,0.0,0.1,2.0,0.1,1.2,1.7,14.5,1.3,0.4,1.0,발생량,0.4,2.5,0.4,0.0,충남,2018
